001	27860644
002	30400826
003	25980045
004	19961898
005	21566510
006	16824136
007	31011100
008	19994493
009	32955994
010	38707545
011	29200109
012	23099212
013	3740515
014	22395171
015	4180166
016	24494377
017	34820298
018	21206827
019	14225862
020	39742693
021	6975051
022	16555291
023	15324434
024	18067581
025	17611403
026	35555390
027	36116197
028	9596492
029	29120050
030	30758222
031	35877254
032	31702893
033	33835838
034	30798289
035	43454806
036	39395414
037	52044019
038	26053858
039	20241829
040	15269747
041	61760565
042	22155726
043	12331679
044	51241575
045	52119313
046	37518559
047	77692883
048	34695162
049	18362398
050	34575011
051	16374590
052	25391108
053	35911903
054	63806380
055	37723614
056	40381388
057	25367302
058	823528
059	38477057
060	43755929
061	31934088
062	23924350
063	32139730
064	42034801
065	23875488
066	45435973
067	32653170
068	22697825
069	40339902
070	40330063
071	47220811
072	34012643
073	26158016
074	30687768
075	21508827
076	47821886
077	33417004
078	35565899
079	41168556
080	35288549
081	7832315
082	62062847
083	23502014
084	14374452
085	23650452
086	10467943
087	23166858
088	34711153
089	27730709
090	26502252
091	42200507
092	27554439
093	21023875
094	41701893
095	704263
096	10702295
097	14775475
098	30003138
099	32441963
100	4979939
101	3838356
102	28443384
103	32380138
104	18949794
105	51471780
106	8306874
107	8910852
108	3298065
109	3389578
